days_active,sessions_count,last_active_days,time_spent_learning,first_week_activity,completed_onboarding,tasks_attempted,tasks_completed,failure_rate,average_task_time,solution_view_attempts,solution_locked_hits,paywall_hits,paid_upgrade_done,dsa_sheet_access_attempts,avg_page_load_time,error_timeout_count,editor_video_crash_count,forced_relogin_count,login_failures,average_login_time,churn
32,50,15,369.47,22,1,82,36,0.72,53.28,22,7,10,0,15,2.39,5,9,15,8,2.94,0
46,58,30,89.71,39,0,122,49,0.06,59.48,39,7,1,1,3,5.04,4,1,4,9,12.33,1
27,93,0,482.52,15,0,24,87,0.99,36.64,19,26,19,1,13,5.11,15,2,10,3,4.91,0
0,82,2,260.41,21,1,119,89,0.95,63.23,33,16,9,0,5,5.68,7,7,9,5,9.98,0
24,41,4,316.12,18,0,59,94,0.45,38.15,23,11,25,1,4,4.96,4,6,19,1,7.48,0
32,59,25,477.03,15,1,63,21,0.79,3.41,2,21,9,0,9,3.91,13,3,14,0,8.17,1
44,96,21,394.4,34,1,145,47,0.94,78.27,26,7,4,1,1,4.77,5,4,19,0,1.31,1
23,27,10,146.82,11,1,131,50,0.61,34.98,16,30,3,1,2,1.01,9,9,10,2,3.69,0
12,31,3,136.53,35,0,23,55,0.41,33.02,0,28,3,0,7,3.39,0,5,18,4,8.53,0
36,64,2,212.47,21,0,37,36,0.15,18.92,29,18,16,0,4,2.69,11,2,1,7,6.72,0
32,50,5,235.14,8,0,48,12,0.04,13.96,24,20,12,0,10,1.86,2,7,1,1,12,0
8,22,5,305.19,16,0,56,50,0.06,38.8,22,7,7,1,11,1.21,10,1,19,4,4.48,0
42,112,6,337.72,20,0,53,15,0.49,20.58,18,13,9,0,9,1.65,7,1,15,0,11.26,0
10,3,25,39.41,1,0,59,19,0.13,49.95,12,29,14,1,9,1.72,0,2,18,8,9.75,1
29,21,8,446.42,39,1,55,108,0.77,83.36,40,11,4,1,15,5.21,13,3,11,5,13.02,0
